,StaticPress_AC3S,SupplyTemp.AC3,OAT,ReturnTemp.AC3,Q_load,Total_power,Total_flow
2021-04-27 15:20:00,1.002000025340489,64.95,56.60882339477539,71.59706115722656,18813.713230258407,2.5400000751018523,2830.3806427001946
2021-04-27 15:30:00,0.9998333156108856,64.89705963134766,56.63235321044922,71.63235473632812,18935.8705788626,2.4799999982118606,2811.438887786865
2021-04-27 15:40:00,1.0000000425747462,64.88529510498047,56.62352905273438,71.50294189453125,19413.825924172343,2.4400000393390653,2933.644925689697
2021-04-27 15:50:00,1.0010000467300415,64.7941177368164,56.56176605224609,71.38529357910156,17837.520256936914,2.540000039339065,2706.272853851319
2021-04-27 16:00:00,0.9990000384194512,64.63529510498047,56.105883026123045,71.45882415771484,20190.212372576323,2.6600000679492948,2958.9105895996086
2021-04-27 16:10:00,1.0000000425747462,64.988232421875,55.8470573425293,71.52647094726562,19232.482421141,2.6800000071525574,2941.5388175964354
2021-04-27 16:20:00,1.0010000467300415,65.26764678955078,56.03823471069336,71.58529663085938,18740.029208744174,2.6000000536441803,2966.297544097901
2021-04-27 16:30:00,1.0010000467300415,65.04117584228516,56.46764755249024,71.6558837890625,19051.09073769915,2.599999988079072,2880.1106399536134
2021-04-27 16:40:00,0.99500002179827,65.18529357910157,56.67058792114258,71.62941131591795,17821.361216322777,2.2999999701976783,2765.5238380432124
2021-04-27 16:50:00,0.9990000384194512,65.17646942138671,56.85293960571289,71.48235321044922,17114.112762151242,2.499999922513962,2713.9911445617668
2021-05-04 06:40:00,0.9980000342641558,65.66176300048828,54.65000076293946,72.31470336914063,30428.812599963,3.1999999463558195,4573.73896560669
2021-05-04 07:00:00,0.9960000259535652,66.20882263183594,54.94117660522461,73.04117584228516,35060.66966492569,4.160000038146973,5131.5657409667965
2021-05-04 07:10:00,1.0050000292914254,65.57058715820311,55.07646942138672,73.09705810546875,39007.57542723911,4.159999918937683,5182.717863464356
2021-05-04 07:20:00,1.0000000085149492,64.97647094726561,55.10294036865234,73.12353057861328,43119.60911862387,4.179999995231628,5292.659078216553
2021-05-04 07:30:00,0.99500002179827,64.78529205322266,55.36470718383789,73.04117584228516,45052.67271089979,4.479999971389769,5457.038139343261
2021-05-04 07:40:00,0.9930000220026288,64.80882263183594,55.72352981567383,72.97058868408203,44424.14688435629,4.120000052452087,5442.9576393127445
2021-05-04 07:50:00,0.988000009741102,64.86470642089844,55.92352905273437,73.0058822631836,44564.89539366909,4.179999899864197,5474.0121398925785
2021-05-04 08:00:00,0.99500002179827,65.12058715820312,56.02647018432617,72.9000015258789,43337.968062812855,4.520000028610229,5570.852253723145
2021-05-04 08:10:00,1.0030000380107336,65.27940979003907,55.93235397338867,72.82941436767578,41174.69266658034,3.919999980926514,5453.598371124267
2021-05-04 08:20:00,1.0080000162124634,64.87058868408204,56.12941131591797,72.93529510498047,44963.59263110201,4.099999880790711,5575.353929138184
2021-05-04 08:30:00,0.9980000342641558,64.78823852539061,56.4000015258789,72.86470794677734,44103.42520646494,3.680000060796738,5460.730785369873
2021-05-04 08:40:00,1.0010000467300415,65.1558837890625,56.67646942138672,72.8176498413086,41012.464096471165,3.9399999856948846,5352.873451995849
2021-05-04 08:50:00,0.99500002179827,65.22058563232422,56.9529411315918,72.94705963134766,42500.51881610711,4.13999993801117,5500.635713195801
2021-05-04 09:00:00,1.0100000074931554,65.05,57.18235397338867,72.92353057861328,42897.85823822277,4.119999980926513,5448.363705444337
2021-05-04 09:10:00,0.9980000087193079,65.00882415771484,57.335294342041024,72.8058853149414,42376.25114554567,3.8600000023841856,5434.900444030763
2021-05-04 09:20:00,1.0010000467300415,65.02058715820313,57.54999923706055,72.88823699951172,42740.33982421588,3.899999994039536,5432.415103149414
2021-05-04 09:30:00,0.99500002179827,65.23235321044922,57.87647094726562,72.9000015258789,41138.18360429499,3.7400000274181364,5365.163073730469
2021-05-04 09:40:00,0.9980000342641558,64.80000152587891,58.108822631835935,72.8058853149414,41035.661334812416,4.100000047683716,5125.687858581543
2021-05-04 09:50:00,0.9960000259535652,65.12058715820312,58.41764678955078,72.87647247314453,41364.863944686935,3.9600001096725466,5333.351676177978
2021-05-04 10:00:00,1.0010000467300415,65.01764831542968,58.54411697387695,72.94705963134766,41381.56538314657,4.080000042915344,5218.743704223632
2021-05-04 10:10:00,1.005000012261527,65.13529663085937,58.50588302612304,72.84117889404297,40211.57329632967,4.040000021457672,5218.295832061768
2021-05-04 10:20:00,0.99500002179827,64.71176452636719,58.70588302612305,72.79412078857422,41353.66765652248,3.6799999952316282,5116.536108398437
2021-05-04 10:30:00,0.9920000093323844,65.23529510498047,58.894117736816405,72.94705963134766,39546.60122311093,3.7799999713897705,5128.08723449707
2021-05-04 10:40:00,0.9980000342641558,65.17058715820312,58.95588302612305,72.8176498413086,38118.02024396578,3.8400000810623167,4984.661669921874
2021-05-04 10:50:00,0.9940000176429749,65.0499984741211,59.13529357910157,72.79412078857422,39332.13072367143,3.8200000286102296,5078.965585327148
2021-05-04 11:00:00,0.9930000134876796,65.4999984741211,59.40882263183594,72.87647247314453,37199.22060759239,4.0,5042.9542098999045
2021-05-04 11:10:00,0.9970000301088604,65.42058868408203,60.0117660522461,72.94705963134766,37746.11462976419,3.7000000476837167,5015.1146392822275
2021-05-04 11:20:00,0.990000001021794,65.89705657958984,60.71764526367188,72.87647247314453,34047.16986207471,3.6999999940395356,4878.2262557983395
2021-05-05 07:00:00,0.9849999972752164,59.2558837890625,52.17941207885743,72.0999984741211,60396.75470976869,3.5399999856948856,4702.290207672119
